,filename,Start (s),End (s),Confidence,label
77,ARM1_20220514_211500_017.wav,0.0,3.0,0.7313,veheng
78,ARM1_20220514_211500_018.wav,0.0,3.0,0.6424,veheng
79,ARM1_20220514_211500_019.wav,0.0,3.0,0.7609,veheng
80,ARM1_20220519_061500_000.wav,0.0,3.0,0.6776,veheng
81,ARM1_20220519_061500_001.wav,0.0,3.0,0.712,veheng
82,ARM1_20220519_061500_002.wav,0.0,3.0,0.5108,veheng
83,ARM1_20220519_061500_003.wav,0.0,3.0,0.7723,veheng
84,ARM1_20220519_061500_004.wav,0.0,3.0,0.8349,veheng
85,ARM1_20220519_061500_005.wav,0.0,3.0,0.7746,veheng
86,ARM1_20220519_061500_006.wav,0.0,3.0,0.6236,veheng
87,ARM1_20220519_061500_007.wav,0.0,3.0,0.5013,veheng
88,ARM1_20220519_061500_008.wav,0.0,3.0,0.7283,veheng
89,ARM1_20220519_061500_009.wav,0.0,3.0,0.5403,veheng
90,ARM1_20220519_061500_010.wav,0.0,3.0,0.7881,veheng
91,ARM1_20220519_061500_011.wav,0.0,3.0,0.632,veheng
92,ARM1_20220519_061500_012.wav,0.0,3.0,0.4941,veheng
93,ARM1_20220519_061500_013.wav,0.0,3.0,0.8688,veheng
94,ARM1_20220519_061500_014.wav,0.0,3.0,0.693,veheng
95,ARM1_20220519_061500_015.wav,0.0,3.0,0.8344,veheng
96,ARM1_20220519_061500_016.wav,0.0,3.0,0.6928,veheng
97,ARM1_20220519_061500_017.wav,0.0,3.0,0.8155,veheng
98,ARM1_20220519_061500_018.wav,0.0,3.0,0.8495,veheng
99,ARM1_20220519_061500_019.wav,0.0,3.0,0.7984,veheng
100,ARM1_20220520_043000_000.wav,0.0,3.0,0.8111,veheng
101,ARM1_20220520_043000_001.wav,0.0,3.0,0.9228,veheng
102,ARM1_20220520_043000_002.wav,0.0,3.0,0.6901,veheng
103,ARM1_20220520_043000_003.wav,0.0,3.0,0.5304,veheng
104,ARM1_20220520_043000_004.wav,0.0,3.0,0.6779,veheng
