Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1307,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1012,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1725,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1535,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1474,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1027,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1020,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.3000,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.4377,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220724_034500.wav
