Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Marmota marmota,Alpine Marmot,0.9976,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.9682,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1647,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1085,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.9953,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.9787,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.9848,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.9671,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.9958,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.9996,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220517_190000.wav
