Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1254,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.2530,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1155,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1157,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1188,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1017,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1039,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1172,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1329,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1070,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220618_161500.wav
