Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1762,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1138,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1219,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1867,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1151,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1381,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1637,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1360,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.2007,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1142,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2523,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.2151,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1756,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1503,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.2664,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1082,D:/ORCHAMP_SON_2022/recs\ARM2\ARM2_20220809_053000.wav
