Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2092,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.3219,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1254,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1939,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1458,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2237,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1846,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.3290,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.3481,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.2869,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2183,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.4236,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.2139,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1024,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.4712,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.3938,D:/ORCHAMP_SON_2022/recs\ASP5\File5454.wav
