Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Marmota marmota,Alpine Marmot,0.1533,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1555,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1396,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1305,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1225,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1140,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1221,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1691,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1651,D:/ORCHAMP_SON_2022/recs\ASP5\File5418.wav
