Start (s),End (s),Scientific name,Common name,Confidence,File
30.0,33.0,Marmota marmota,Alpine Marmot,0.1856,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1338,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1521,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1639,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1096,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1106,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220920_131500.wav
