Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1036,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.4180,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1305,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1153,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.4615,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1478,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.2300,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1391,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1552,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.3120,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.2778,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1221,D:/ORCHAMP_SON_2022/recs\ASP6\ASP6_20220923_151500.wav
