Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1087,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.2872,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1196,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1712,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1649,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1567,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1571,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.3094,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.2374,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1389,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2041,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2314,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1883,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1234,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1165,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1241,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220820_194500.wav
