Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1900,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.2564,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.3756,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2045,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1998,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1752,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1159,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1014,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1680,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1302,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1539,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2606,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1774,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1762,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1269,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1174,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1280,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1445,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220731_103000.wav
