Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Marmota marmota,Alpine Marmot,0.1637,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20221003_144500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1998,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20221003_144500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1421,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20221003_144500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1938,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20221003_144500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1050,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20221003_144500.wav
