Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2623,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1963,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1461,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1278,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.2521,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.2047,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.4138,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1724,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1098,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1094,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1636,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.2593,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2535,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.4345,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.4021,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.3272,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1141,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1427,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.2281,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220709_153000.wav
