Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1026,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1045,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1332,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.2678,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1771,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.2470,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1040,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1684,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1385,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1289,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1066,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1091,D:/ORCHAMP_SON_2022/recs\ASP7\ASP7_20220817_134500.wav
