Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.1063,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1717,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1210,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1898,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1092,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1114,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1362,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1169,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1363,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1506,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER4\MER4_20220901_120000.wav
