Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.1378,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1788,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1577,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1349,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1285,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1403,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1956,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1423,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1520,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1264,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1381,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1008,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1289,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1040,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\VTN6\VTN6_20220604_131500.wav
