Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.3340,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.5159,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.3175,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.3996,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.3050,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.5177,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1364,D:/ORCHAMP_SON_2022/recs\ARM3\ARM3_20220714_053000.wav
