Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.3515,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1614,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.3050,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.3195,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1476,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.3736,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220713_070000.wav
