Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.9052,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.9076,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.3528,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1285,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1221,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.3451,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1211,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1703,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1244,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.5989,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.2117,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1406,D:/ORCHAMP_SON_2022/recs\MER4\MER4_20220705_163000.wav
