Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1282,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1094,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1317,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1197,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1598,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1442,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1110,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1052,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1044,D:/ORCHAMP_SON_2022/recs\MER3\MER3_20220711_141500.wav
