Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.2552,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1075,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1219,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1372,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1696,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1346,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.3046,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1218,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2265,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1463,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1572,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220609_164500.wav
