Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Marmota marmota,Alpine Marmot,0.1041,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220730_071500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1209,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220730_071500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2320,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220730_071500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1119,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220730_071500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1017,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\PEC4\PEC4_20220730_071500.wav
