Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.1659,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1546,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1386,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1607,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1863,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1062,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.2320,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220615_194500.wav
