Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1520,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.1483,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.2724,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2191,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.2783,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1337,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1636,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1479,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1799,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1750,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1410,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1050,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1070,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1156,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1049,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1774,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220728_003000.wav
