Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1482,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1323,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1203,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2078,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.2576,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1030,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1395,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1737,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1438,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1232,D:/ORCHAMP_SON_2022/recs\PEC4\PEC4_20220506_070000.wav
