Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.8723,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.9364,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.8989,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.9206,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.8979,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.3153,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.1193,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1450,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.5640,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.9049,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.5152,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.7784,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1993,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1538,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1616,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio\Audio_ech\ARM3\ARM3_20220629_091500.wav
