Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.9887,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.8941,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.9126,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.4270,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.9735,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.8475,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.9833,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.9161,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.6902,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.9399,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.8786,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.9580,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1711,D:/ORCHAMP_SON_2022/recs\MER5\MER5_20220812_080000.wav
