Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.4645,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.5266,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.3072,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.7524,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.5978,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.4116,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.5869,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.3718,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.5710,D:/ORCHAMP_SON_2022/recs\ARM1\ARM1_20220824_054500.wav
