Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Marmota marmota,Alpine Marmot,0.1211,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1154,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1030,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1578,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1024,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1051,D:/ORCHAMP_SON_2022/recs\ASP3\ASP3_20221008_183000.wav
