Class,Precision (0.5),Recall (0.5),F1 Score (0.5),Precision (opt),Recall (opt),F1 Score (opt),AUPRC,AUROC,Optimal Threshold,True Positives,False Positives,True Negatives,False Negatives,Samples,Percentage (%)
OVERALL (Macro-avg),0.9877,1.0000,0.9938,0.9984,1.0000,0.9992,1.0000,1.0000,,,,,,,
Vehicule engine_Vehicle Engine,0.9877,1.0000,0.9938,0.9984,1.0000,0.9992,1.0000,1.0000,0.70,640,1,143,0,640,81.63
