Class,Precision (0.5),Recall (0.5),F1 Score (0.5),Precision (opt),Recall (opt),F1 Score (opt),AUPRC,AUROC,Optimal Threshold,True Positives,False Positives,True Negatives,False Negatives,Samples,Percentage (%)
OVERALL (Macro-avg),0.8906,0.9670,0.9272,0.9028,0.9547,0.9280,0.9881,0.9300,,,,,,,
Vehicule engine_Vehicle Engine,0.8906,0.9670,0.9272,0.9028,0.9547,0.9280,0.9881,0.9300,0.55,780,84,60,37,817,85.02
