Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Marmota marmota,Alpine Marmot,0.2285,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1256,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1113,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.2332,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1021,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1655,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1189,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1400,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.2287,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.2721,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.2573,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM1\ARM1_20220605_090000.wav
