;filename;truth;score;trueEngine
0;ARM3_20220505_100000_000.wav;0;0.08587460964918137;0
1;ARM3_20220505_100000_001.wav;0;0.06589773297309875;0
2;ARM3_20220505_100000_002.wav;0;0.047542497515678406;0
3;ARM3_20220505_100000_003.wav;0;0.11652056127786636;0
4;ARM3_20220505_100000_004.wav;0;0.03950319439172745;0
5;ARM3_20220505_100000_005.wav;0;0.06009021773934364;0
6;ARM3_20220505_100000_006.wav;0;0.14358139038085938;0
7;ARM3_20220505_100000_007.wav;0;0.2581664025783539;0
8;ARM3_20220505_100000_008.wav;0;0.07067599892616272;0
9;ARM3_20220505_100000_009.wav;0;0.1255662739276886;0
10;ARM3_20220505_100000_010.wav;0;0.43516895174980164;0
11;ARM3_20220505_100000_011.wav;0;0.134253591299057;0
12;ARM3_20220505_100000_012.wav;0;0.28845447301864624;0
13;ARM3_20220505_100000_013.wav;0;0.057180292904376984;0
14;ARM3_20220505_100000_014.wav;0;0.17318855226039886;0
15;ARM3_20220505_100000_015.wav;0;0.08663829416036606;0
16;ARM3_20220505_100000_016.wav;0;0.06592750549316406;0
17;ARM3_20220505_100000_017.wav;0;0.17326174676418304;0
18;ARM3_20220505_100000_018.wav;0;0.027387740090489388;0
19;ARM3_20220505_100000_019.wav;0;0.06660913676023483;0
20;ARM3_20220505_190000_000.wav;0;0.9026476740837097;0
21;ARM3_20220505_190000_001.wav;0;0.774808406829834;0
22;ARM3_20220505_190000_002.wav;0;0.6516597867012024;0
23;ARM3_20220505_190000_003.wav;0;0.31720882654190063;0
24;ARM3_20220505_190000_004.wav;0;0.010372516699135303;0
25;ARM3_20220505_190000_005.wav;0;0.0861554741859436;0
26;ARM3_20220505_190000_006.wav;0;0.03489017114043236;0
27;ARM3_20220505_190000_007.wav;0;0.038640812039375305;0
28;ARM3_20220505_190000_008.wav;0;0.036622364073991776;0
29;ARM3_20220505_190000_009.wav;0;0.012343754060566425;0
30;ARM3_20220505_190000_010.wav;0;0.09776721149682999;0
31;ARM3_20220505_190000_011.wav;0;0.04254789277911186;0
32;ARM3_20220505_190000_012.wav;0;0.14181223511695862;0
33;ARM3_20220505_190000_013.wav;0;0.027427436783909798;0
34;ARM3_20220505_190000_014.wav;0;0.007506206631660461;0
35;ARM3_20220505_190000_015.wav;0;0.17113740742206573;0
36;ARM3_20220505_190000_016.wav;0;0.11783014237880707;0
37;ARM3_20220505_190000_017.wav;0;0.030158650130033493;0
38;ARM3_20220505_190000_018.wav;0;0.032181303948163986;0
39;ARM3_20220505_190000_019.wav;0;0.014316755346953869;0
40;ARM3_20220506_030000_000.wav;0;0.041975997388362885;0
41;ARM3_20220506_030000_001.wav;0;0.036619849503040314;0
42;ARM3_20220506_030000_002.wav;0;0.0515826977789402;0
43;ARM3_20220506_030000_003.wav;0;0.10176010429859161;0
44;ARM3_20220506_030000_004.wav;0;0.032335326075553894;0
45;ARM3_20220506_030000_005.wav;0;0.049751318991184235;0
46;ARM3_20220506_030000_006.wav;0;0.05177408084273338;0
47;ARM3_20220506_030000_007.wav;0;0.10495142638683319;0
48;ARM3_20220506_030000_008.wav;0;0.037833765149116516;0
49;ARM3_20220506_030000_009.wav;0;0.04061901569366455;0
50;ARM3_20220506_030000_010.wav;0;0.03483011573553085;0
51;ARM3_20220506_030000_011.wav;0;0.0551491342484951;0
52;ARM3_20220506_030000_012.wav;0;0.04037744924426079;0
53;ARM3_20220506_030000_013.wav;0;0.052457526326179504;0
54;ARM3_20220506_030000_014.wav;0;0.050741296261548996;0
55;ARM3_20220506_030000_015.wav;0;0.041421350091695786;0
56;ARM3_20220506_030000_016.wav;0;0.0608849823474884;0
57;ARM3_20220506_030000_017.wav;0;0.036872461438179016;0
58;ARM3_20220506_030000_018.wav;0;0.057206884026527405;0
59;ARM3_20220506_030000_019.wav;0;0.04454158619046211;0
60;ARM3_20220506_184500_000.wav;0;0.10098908841609955;0
61;ARM3_20220506_184500_001.wav;0;0.2205769419670105;0
62;ARM3_20220506_184500_002.wav;0;0.059442173689603806;0
63;ARM3_20220506_184500_003.wav;0;0.12020429968833923;0
64;ARM3_20220506_184500_004.wav;0;0.08260340243577957;0
65;ARM3_20220506_184500_005.wav;0;0.13378643989562988;0
66;ARM3_20220506_184500_006.wav;0;0.10613119602203369;0
67;ARM3_20220506_184500_007.wav;0;0.0301440991461277;0
68;ARM3_20220506_184500_008.wav;0;0.11207836121320724;0
69;ARM3_20220506_184500_009.wav;0;0.2759306728839874;0
70;ARM3_20220506_184500_010.wav;0;0.13259130716323853;0
71;ARM3_20220506_184500_011.wav;0;0.09991391748189926;0
72;ARM3_20220506_184500_012.wav;0;0.07956735044717789;0
73;ARM3_20220506_184500_013.wav;0;0.09040205925703049;0
74;ARM3_20220506_184500_014.wav;0;0.044521264731884;0
75;ARM3_20220506_184500_015.wav;0;0.09906162321567535;0
76;ARM3_20220506_184500_016.wav;0;0.10910172015428543;0
77;ARM3_20220506_184500_017.wav;0;0.2504352629184723;0
78;ARM3_20220506_184500_018.wav;0;0.08120313286781311;0
79;ARM3_20220506_184500_019.wav;0;0.07201571762561798;0
80;ARM3_20220510_213000_000.wav;0;0.11589591950178146;0
81;ARM3_20220510_213000_001.wav;0;0.22295114398002625;0
82;ARM3_20220510_213000_002.wav;0;0.08948064595460892;0
83;ARM3_20220510_213000_003.wav;0;0.13267628848552704;0
84;ARM3_20220510_213000_004.wav;0;0.1317501813173294;0
85;ARM3_20220510_213000_005.wav;0;0.1352454125881195;0
86;ARM3_20220510_213000_006.wav;0;0.13281241059303284;0
87;ARM3_20220510_213000_007.wav;0;0.1456853300333023;0
88;ARM3_20220510_213000_008.wav;0;0.1153963953256607;0
89;ARM3_20220510_213000_009.wav;0;0.11345361918210983;0
90;ARM3_20220510_213000_010.wav;0;0.04345058277249336;0
91;ARM3_20220510_213000_011.wav;0;0.05021356791257858;0
92;ARM3_20220510_213000_012.wav;0;0.04583936557173729;0
93;ARM3_20220510_213000_013.wav;0;0.13773535192012787;0
94;ARM3_20220510_213000_014.wav;0;0.03541724383831024;0
95;ARM3_20220510_213000_015.wav;0;0.050532661378383636;0
96;ARM3_20220510_213000_016.wav;0;0.11098382622003555;0
97;ARM3_20220510_213000_017.wav;0;0.05073689669370651;0
98;ARM3_20220510_213000_018.wav;0;0.047251131385564804;0
99;ARM3_20220510_213000_019.wav;0;0.1367107480764389;0
100;ARM3_20220513_093000_000.wav;0;0.7991440892219543;0
101;ARM3_20220513_093000_001.wav;0;0.355323851108551;0
102;ARM3_20220513_093000_002.wav;0;0.13719657063484192;0
103;ARM3_20220513_093000_003.wav;0;0.10104843974113464;0
104;ARM3_20220513_093000_004.wav;0;0.025960901752114296;0
105;ARM3_20220513_093000_005.wav;0;0.08471040427684784;0
106;ARM3_20220513_093000_006.wav;0;0.30320361256599426;0
107;ARM3_20220513_093000_007.wav;0;0.05826658755540848;0
108;ARM3_20220513_093000_008.wav;0;0.12435111403465271;0
109;ARM3_20220513_093000_009.wav;0;0.026508139446377754;0
110;ARM3_20220513_093000_010.wav;0;0.01703655533492565;0
111;ARM3_20220513_093000_011.wav;0;0.046572908759117126;0
112;ARM3_20220513_093000_012.wav;0;0.019341792911291122;0
113;ARM3_20220513_093000_013.wav;0;0.06102697551250458;0
114;ARM3_20220513_093000_014.wav;0;0.04013821482658386;0
115;ARM3_20220513_093000_015.wav;0;0.03283269330859184;0
116;ARM3_20220513_093000_016.wav;0;0.030259590595960617;0
117;ARM3_20220513_093000_017.wav;0;0.008074798621237278;0
118;ARM3_20220513_093000_018.wav;0;0.015248006209731102;0
119;ARM3_20220513_093000_019.wav;0;0.026010524481534958;0
120;ARM3_20220519_131500_000.wav;0;0.07491189986467361;0
121;ARM3_20220519_131500_001.wav;0;0.1682301163673401;0
122;ARM3_20220519_131500_002.wav;0;0.13521765172481537;0
123;ARM3_20220519_131500_003.wav;0;0.0880126953125;0
124;ARM3_20220519_131500_004.wav;0;0.41405653953552246;0
125;ARM3_20220519_131500_005.wav;0;0.04918994382023811;0
126;ARM3_20220519_131500_006.wav;0;0.2611337900161743;0
127;ARM3_20220519_131500_007.wav;0;0.18588903546333313;0
128;ARM3_20220519_131500_008.wav;0;0.14209109544754028;0
129;ARM3_20220519_131500_009.wav;0;0.15646754205226898;0
130;ARM3_20220519_131500_010.wav;0;0.17018048465251923;0
131;ARM3_20220519_131500_011.wav;0;0.14760249853134155;0
132;ARM3_20220519_131500_012.wav;0;0.12403368949890137;0
133;ARM3_20220519_131500_013.wav;0;0.24770274758338928;0
134;ARM3_20220519_131500_014.wav;0;0.06877759099006653;0
