Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Marmota marmota,Alpine Marmot,0.2094,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2091,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1268,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1817,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.2808,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1514,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.2450,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220612_030000.wav
