Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1414,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
3.0,6.0,Marmota marmota,Alpine Marmot,0.3922,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.2005,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.2791,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1499,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
18.0,21.0,Marmota marmota,Alpine Marmot,0.2022,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.2891,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1835,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1263,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1380,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.2154,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.2534,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1390,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1637,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1672,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1012,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1868,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.2829,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\ARM3\ARM3_20220804_013000.wav
