Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.1357,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1002,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.3319,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.4031,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1440,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
36.0,39.0,Marmota marmota,Alpine Marmot,0.1533,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.3003,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1116,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1858,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.2687,C:\Users\phano\Documents\_MoBI 2024\LECA2025\Audio/Audio_ech\MER2\MER2_20220802_070000.wav
