Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.1287,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
9.0,12.0,Marmota marmota,Alpine Marmot,0.1609,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1225,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1005,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
42.0,45.0,Marmota marmota,Alpine Marmot,0.1130,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1019,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
51.0,54.0,Marmota marmota,Alpine Marmot,0.1081,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1246,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
57.0,60.0,Marmota marmota,Alpine Marmot,0.1452,D:/ORCHAMP_SON_2022/recs\PEC3\PEC3_20220609_164500.wav
