Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Marmota marmota,Alpine Marmot,0.1021,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
6.0,9.0,Marmota marmota,Alpine Marmot,0.1589,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
12.0,15.0,Marmota marmota,Alpine Marmot,0.1113,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1242,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
27.0,30.0,Marmota marmota,Alpine Marmot,0.1504,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1867,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1445,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1763,D:/ORCHAMP_SON_2022/recs\VTN6\VTN6_20220713_103000.wav
