Start (s),End (s),Scientific name,Common name,Confidence,File
0,3.0,Marmota marmota,Alpine Marmot,0.1133,D:/ORCHAMP_SON_2022/recs\VTN1\VTN1_20220609_034500.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1157,D:/ORCHAMP_SON_2022/recs\VTN1\VTN1_20220609_034500.wav
33.0,36.0,Marmota marmota,Alpine Marmot,0.1075,D:/ORCHAMP_SON_2022/recs\VTN1\VTN1_20220609_034500.wav
39.0,42.0,Marmota marmota,Alpine Marmot,0.1479,D:/ORCHAMP_SON_2022/recs\VTN1\VTN1_20220609_034500.wav
45.0,48.0,Marmota marmota,Alpine Marmot,0.1981,D:/ORCHAMP_SON_2022/recs\VTN1\VTN1_20220609_034500.wav
