Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Marmota marmota,Alpine Marmot,0.1086,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
15.0,18.0,Marmota marmota,Alpine Marmot,0.1098,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
21.0,24.0,Marmota marmota,Alpine Marmot,0.1681,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
24.0,27.0,Marmota marmota,Alpine Marmot,0.1679,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
30.0,33.0,Marmota marmota,Alpine Marmot,0.1256,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
48.0,51.0,Marmota marmota,Alpine Marmot,0.1040,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
54.0,57.0,Marmota marmota,Alpine Marmot,0.1342,D:/ORCHAMP_SON_2022/recs\VTN2\VTN2_20220606_033000.wav
